numAnts iteration alpha beta time_path Path_length total_path_time 
5 0 0.9 0.1 0.00599980354309 26 0.12099981308 
5 0 0.9 0.1 0.0119998455048 25 0.12099981308 
5 0 0.9 0.1 0.0169999599457 25 0.12099981308 
5 0 0.9 0.1 0.0230000019073 26 0.12099981308 
5 0 0.9 0.1 0.0279998779297 23 0.12099981308 
5 1 0.9 0.1 0.0309998989105 28 0.12099981308 
5 1 0.9 0.1 0.0349998474121 27 0.12099981308 
5 1 0.9 0.1 0.0390000343323 27 0.12099981308 
5 1 0.9 0.1 0.0419998168945 28 0.12099981308 
5 1 0.9 0.1 0.0460000038147 25 0.12099981308 
5 2 0.9 0.1 0.0499999523163 30 0.12099981308 
5 2 0.9 0.1 0.0529999732971 29 0.12099981308 
5 2 0.9 0.1 0.0569999217987 29 0.12099981308 
5 2 0.9 0.1 0.0609998703003 30 0.12099981308 
5 2 0.9 0.1 0.0649998188019 27 0.12099981308 
5 3 0.9 0.1 0.0679998397827 32 0.12099981308 
5 3 0.9 0.1 0.0720000267029 31 0.12099981308 
5 3 0.9 0.1 0.0759999752045 31 0.12099981308 
5 3 0.9 0.1 0.0799999237061 32 0.12099981308 
5 3 0.9 0.1 0.0829999446869 29 0.12099981308 
5 4 0.9 0.1 0.0869998931885 34 0.12099981308 
5 4 0.9 0.1 0.0909998416901 33 0.12099981308 
5 4 0.9 0.1 0.0939998626709 33 0.12099981308 
5 4 0.9 0.1 0.0979998111725 34 0.12099981308 
5 4 0.9 0.1 0.101999998093 31 0.12099981308 
5 5 0.9 0.1 0.105999946594 36 0.12099981308 
5 5 0.9 0.1 0.108999967575 35 0.12099981308 
5 5 0.9 0.1 0.112999916077 35 0.12099981308 
5 5 0.9 0.1 0.116999864578 36 0.12099981308 
5 5 0.9 0.1 0.12099981308 33 0.12099981308 
5 0 0.9 0.1 0.00599980354309 26 0.12099981308 
5 0 0.9 0.1 0.0119998455048 25 0.12099981308 
5 0 0.9 0.1 0.0169999599457 25 0.12099981308 
5 0 0.9 0.1 0.0230000019073 26 0.12099981308 
5 0 0.9 0.1 0.0279998779297 23 0.12099981308 
5 1 0.9 0.1 0.0309998989105 28 0.12099981308 
