time_taken path_length 
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.652000188828 29
0.652000188828 29
0.652000188828 29
0.652000188828 29
0.652000188828 29
0.652000188828 29
0.652000188828 29
0.652000188828 29
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
0.647000074387 31
